'C_q:[as=smp,vc=smp]:አጨ፟ቀ::TqTq.E_
tk_z:[as=smp,vc=smp]:ተከ፟ዘ::hzn.A_
tkl:[as=it,vc=cs]:አስተካከ፟ለ::tkl.A_cspsit
tkl:[as=smp,vc=ps]:ተተከ፟ለ::tkl.A_ps
tl':[as=smp,vc=smp]:ተላ፟::frfr.E_
tnfs:[as=smp,vc=smp]:ተነፈ፟ሰ::tnfs.E_
tnkWs:[as=smp,vc=smp]:ተነኰ፟ሰ::lkf.A_
tr_t:[as=smp,vc=ps]:ተተረ፟ተ::trt.B_ps
tr_t:[as=smp,vc=smp]:ተረ፟ተ::trt.B_
trf:[as=smp,vc=cs]:አስተረ፟ፈ::trf.A_cs
trf:[as=smp,vc=smp]:ተረ፟ፈ::trf.A_
trf:[as=smp,vc=tr]:አተረ፟ፈ::trf.A_cs
trgWm:[as=smp,vc=smp]:ተረጐ፟መ::trgWm.E_
tw:[as=smp,vc=smp]:ተወ::gfr.A_
w'T:[as=smp,vc=smp]:ዋጠ::whT.A_
w'b:[as=smp,vc=cs]:አስዋበ::dmq.A_csit
w'l:[as=it,vc=ps]:ተዋዋለ::whl.A_psit
w'l:[as=smp,vc=smp]:ዋለ::whl.A_
w'l:[as=smp,vc=tr]:አዋለ::whl.A_cs
wT':[as=rc,vc=tr]:አዋ፟ጣ፟::wTh.A_cspsrc
wT':[as=smp,vc=smp]:ወጣ፟::wTh.A_
wT':[as=smp,vc=tr]:አወጣ፟::wTh.A_cs
wT_n:[as=smp,vc=smp]:ወጠ፟ነ::wTn.A_
wT_q:[as=smp,vc=smp]:ወጠ፟ቀ::TqTq.E_
wT_r:[as=smp,vc=smp]:ወጠ፟ረ::wTr.A_
waN*:[as=smp,vc=smp]:ዋኘ፟::wNy.C_
wall:[as=smp,vc=smp]:ዋለ፟ለ::wll.C_
watt:[as=smp,vc=smp]:ዋተ፟ተ::nwz.C_
wax*:[as=smp,vc=smp]:ዋሸ፟::sbk.A_
wd_r:[as=it,vc=ps]:ተወዳደ፟ረ::mkr.AW_psit
wd_s:[as=smp,vc=tr]:አወደ፟ሰ::mgs.AW_cs
wdd:[as=rc,vc=ps]:ተዋደ፟ደ::wdd.A_psrc
wdd:[as=smp,vc=smp]:ወደ፟ደ::wdd.A_
wdm:[as=smp,vc=smp]:ወደ፟መ::Tfh.A_
wdq:[as=smp,vc=smp]:ወደ፟ቀ::wdq.A_
wf_r:[as=smp,vc=smp]:ወፈ፟ረ::fqr.A_
wg':[as=rc,vc=ps]:ተዋጋ፟::hjy.A_psit
wg':[as=smp,vc=ps]:ተወጋ፟::hjy.A_ps
wg':[as=smp,vc=smp]:ወጋ፟::hjy.A_
wk':[as=it,vc=tr]:አውካካ፟::wkh.A_csit
wlagd:[as=smp,vc=ps]:ተወላገ፟ደ::Tmm.A_psrc
wlakf:[as=smp,vc=ps]:ተወላከ፟ፈ::Tlf.A_ps
wlawl:[as=smp,vc=smp]:ወላወ፟ለ::wlwl.F_
wlawl:[as=smp,vc=tr]:አወላወ፟ለ::wlwl.F_csps
wld:[as=rc,vc=tr]:አዋ፟ለ፟ደ::wld.A_cspsrc
wld:[as=smp,vc=ps]:ተወለ፟ደ::wld.A_ps
wld:[as=smp,vc=smp]:ወለ፟ደ::wld.A_
wlq:[as=smp,vc=cs]:አስወለ፟ቀ::wlq.A_csps
wlq:[as=smp,vc=smp]:ወለ፟ቀ::wlq.A_
wlq:[as=smp,vc=tr]:አወለ፟ቀ::wlq.A_csps
wlwl:[as=smp,vc=smp]:ወለወ፟ለ::wlwl.E_
wnjl:[as=smp,vc=smp]:ወነጀ፟ለ::wnjl.E_
wqT:[as=smp,vc=smp]:ወቀ፟ጠ::wqT.A_
wqr:[as=smp,vc=smp]:ወቀ፟ረ::wqr.A_
wqs:[as=smp,vc=smp]:ወቀ፟ሰ::wqs.A_
wr_f:[as=smp,vc=smp]:ወረ፟ፈ::mrm.AW_
wrd:[as=rc,vc=tr]:አዋ፟ረ፟ደ::wrd.A_cspsrc
wrd:[as=smp,vc=cs,ob=[+xpl]]:አስወረ፟ደው::wrd.A_csps3
wrd:[as=smp,vc=smp]:ወረ፟ደ::wrd.A_
wrr:[as=smp,vc=smp]:ወረ፟ረ::wrr.A_
wrs:[as=smp,vc=smp]:ወረ፟ሰ::wrs.A_
wsb:[as=smp,vc=smp]:ወሰ፟በ::shl.A_csps
wsb:[as=smp,vc=tr]:አወሰ፟በ::shl.A_csps
wsd:[as=it,vc=smp]:ወሳሰ፟ደ::wsd.A_it
wsd:[as=smp,vc=smp]:ወሰ፟ደ::wsd.A_
wslt:[as=smp,vc=smp]:ወሰለ፟ተ::wslt.E_
wsws:[as=smp,vc=smp]:ወሰወ፟ሰ::wsws.E_
wt_f:[as=smp,vc=smp]:ወተ፟ፈ::wtf.C_
wtwt:[as=smp,vc=smp]:ወተወ፟ተ::wtwt.E_
wy_b:[as=smp,vc=smp]:ወየ፟በ::mhl.A_csps
wzwz:[as=rc,vc=ps]:ተወዛወ፟ዘ::wzwz.F_ps
wzwz:[as=rc,vc=tr]:አወ፟ዛወ፟ዘ::wzwz.F_cs
w|dldl:[as=smp,vc=tr]:አውደለደ፟ለ::zfl.C_cs
x'l:[as=smp,vc=ps,ob=[+xpl]]:ተሻለው::rbh.A_3
x'l:[as=smp,vc=ps]:ተሻለ::rbh.A_
x'r:[as=smp,vc=ps]:ተሻረ::xhr.A_ps
xN_*:[as=smp,vc=ps]:ተሸኘ፟::xNy.B_ps
xN_*:[as=smp,vc=smp]:ሸኘ፟::xNy.B_cs
xagr:[as=smp,vc=cs]:አሻ፟ገ፟ረ::gnh.B_csps
xagr:[as=smp,vc=ps]:ተሻገ፟ረ::gnh.B_ps
xagt:[as=smp,vc=smp]:ሻገ፟ተ::xgt.C_
xark:[as=smp,vc=ps]:ተሻረ፟ከ::xrk.C_ps
xb_b:[as=smp,vc=ps]:ተሸበ፟በ::xbb.B_ps
xb_b:[as=smp,vc=smp]:ሸበ፟በ::xbb.B_
xb_r:[as=smp,vc=cs]:አሸ፟በ፟ረ::xbr.B_csps
xb_r:[as=smp,vc=ps]:ተሸበ፟ረ::xbr.B_ps
xb_t:[as=smp,vc=smp]:ሸበ፟ተ::xbt.B_
xf_n:[as=it,vc=smp]:ሸፋፈ፟ነ::lbs.A_csit
xf_n:[as=smp,vc=smp]:ሸፈ፟ነ::lbs.A_cs
xf_t:[as=smp,vc=smp]:ሸፈ፟ተ::xft.B_
xgW_T:[as=smp,vc=ps]:ተሸጐ፟ጠ::srT.B_ps
xk_m:[as=smp,vc=cs]:አሸ፟ከ፟መ::Twr.C_csps
xl_m:[as=smp,vc=ps]:ተሸለ፟መ::xlm.B_ps
xl_m:[as=smp,vc=smp]:ሸለ፟መ::xlm.B_
xlqq:[as=smp,vc=ps]:ተሸለቀ፟ቀ::xlqq.E_ps
xlxl:[as=smp,vc=ps]:ተሸለሸ፟ለ::xlxl.E_ps
xm_q:[as=smp,vc=cs]:አሸ፟መ፟ቀ::zfl.C_cs
xm_t:[as=smp,vc=smp]:ሸመ፟ተ::xmt.B_
xmgl:[as=rc,vc=ps]:ተሸማገ፟ለ::grz.A_psrc
xmgl:[as=smp,vc=smp]:ሸመገ፟ለ::grz.A_
xnf:[as=smp,vc=cs]:አሸ፟ነ፟ፈ::CNy.Aw_
xnf:[as=smp,vc=ps]:ተሸነ፟ፈ::CNy.Aw_ps
xngl:[as=smp,vc=smp]:ሸነገ፟ለ::dbr.A_cspsit
xq_b:[as=smp,vc=smp]:ሸቀ፟በ::xqb.B_
xr_T:[as=smp,vc=cs]:አሸ፟ረ፟ጠ::xbll.F_cs
xrkt:[as=smp,vc=ps]:ተሸረከ፟ተ::xrkt.E_ps
xrkt:[as=smp,vc=smp]:ሸረከ፟ተ::xrkt.E_
xrxr:[as=rc,vc=ps]:ተሸራሸ፟ረ::xrxr.F_ps
xwf:[as=smp,vc=cs]:አሾ፟ፈ::xwf.A_cs
xwl:[as=smp,vc=cs]:አሾ፟ለ::fTh.A_
xx*:[as=smp,vc=cs]:አሸ፟ሸ፟::xxy.A_cs
xx*:[as=smp,vc=smp]:ሸሸ፟::xxy.A_
xx_g:[as=smp,vc=ps]:ተሸሸ፟ገ::shT.A_ps
xx_g:[as=smp,vc=smp]:ሸሸ፟ገ::shT.A_
xyT:[as=smp,vc=smp]:ሸጠ::Tgr.B_
x|mWaTT:[as=smp,vc=tr]:አሽሟጠ፟ጠ::xmWTT.F_cs
x|qdadm:[as=smp,vc=ps]:ተሽቀዳደ፟መ::qdm.A_psit
y'z:[as=it,vc=ps]:ተያያዘ::yz.A_psit
y'z:[as=it,vc=tr]:አያ፟ያዘ::yz.A_cspsit
y'z:[as=smp,vc=ps]:ተያዘ::yz.A_ps
y'z:[as=smp,vc=smp]:ያዘ::yz.A_
z'q:[as=smp,vc=smp]:ዛቀ::zhq.A_
zamd:[as=smp,vc=ps]:ተዛመ፟ደ::zmd.A_psrc
zb':[as=rc,vc=ps]:ተዛባ፟::zbh.C_ps
zbann:[as=smp,vc=ps]:ተዘባነ፟ነ::zbnn.F_ps
zbarq:[as=smp,vc=smp]:ዘባረ፟ቀ::rbT.C_
zbll:[as=smp,vc=smp]:ዘበለ፟ለ::qrTT.F_
zfzf:[as=smp,vc=smp]:ዘፈዘ፟ፈ::zfzf.E_
zg':[as=smp,vc=cs]:አዘ፟ጋ፟::hCy.A_csps
zg':[as=smp,vc=ps]:ተዘጋ፟::hCy.A_ps
zg':[as=smp,vc=smp]:ዘጋ፟::hCy.A_
zgaj*:[as=smp,vc=ps]:ተዘጋጀ፟::klt.B_psit
zgn:[as=smp,vc=smp]:ዘገ፟ነ::TbT.A_
zgy*:[as=smp,vc=cs]:አዘ፟ገየ፟::hqs.B_csps
zgy*:[as=smp,vc=smp]:ዘገየ፟::hqs.B_
zlf:[as=smp,vc=smp]:ዘለ፟ፈ::Trs.A_cs
zll:[as=smp,vc=smp]:ዘለ፟ለ::zll.A_
zlzl:[as=smp,vc=smp]:ዘለዘ፟ለ::zlzl.E_
zm_r:[as=smp,vc=smp]:ዘመ፟ረ::zmr.B_
zmzm:[as=smp,vc=smp]:ዘመዘ፟መ::zmzm.E_
znb:[as=smp,vc=smp]:ዘነ፟በ::znb.A_
zng':[as=rc,vc=tr]:አዘ፟ናጋ፟::rsh.A_cspsit
zng':[as=smp,vc=smp]:ዘነጋ፟::rsh.A_
zntr:[as=smp,vc=smp]:ዘነተ፟ረ::nCy.A_
zr':[as=smp,vc=smp]:ዘራ፟::zrh.A_
zr_r:[as=smp,vc=smp]:ዘረ፟ረ::zrr.B_
zrf:[as=it,vc=smp]:ዘራረ፟ፈ::zrf.A_it
zrf:[as=smp,vc=smp]:ዘረ፟ፈ::zrf.A_
zrg':[as=smp,vc=smp]:ዘረጋ፟::zrgh.E_
zrgf:[as=smp,vc=smp]:ዘረገ፟ፈ::zrgf.E_
zrzr:[as=smp,vc=smp]:ዘረዘ፟ረ::zrzr.E_
zwr:[as=it,vc=cs]:አዟ፟ዟረ::zwr.A_cspsit
zwr:[as=smp,vc=cs]:አዞ፟ረ::zwr.A_cs
z|lglg:[as=smp,vc=ps]:ተዝለገለ፟ገ::mZlg.F_ps
